LotArea,Neighborhood,BedroomAbvGr,Neighborhood_encoded,SalePrice
9208,D,5,4,649089.1913583805
8339,A,4,1,582899.0393135282
3205,C,1,3,495477.4714364299
2069,B,4,2,211501.64847447874
4444,B,2,2,687569.2590357511
2060,E,2,5,424140.0615010933
3327,B,4,2,633284.1939552469
4420,D,4,4,529843.4134341262
1301,E,4,5,239943.83747258596
1606,C,4,3,355338.4331987229
4170,E,4,5,854121.1307871228
1699,C,5,3,377548.4106291295
6088,B,3,2,973761.6016797498
1190,A,2,1,249769.43155092548
1980,E,2,5,317272.6182317451
3975,E,3,5,306545.6903277923
7102,D,4,4,634134.4462649351
2184,D,3,4,339660.67753922084
4327,C,4,3,705099.1665019523
4394,A,2,1,435881.95319689956
9319,D,1,4,1477525.2937561267
2816,D,2,4,420130.98507900076
6854,B,2,2,666952.8868978156
7709,B,1,2,1091070.011276641
1569,D,3,4,302871.70106139994
6442,C,5,3,542008.867367731
2895,A,4,1,401060.10148167424
3733,D,4,4,550280.544921576
4863,C,2,3,663549.860508132
8455,C,1,3,628919.2507872815
5014,D,2,4,575985.1718312572
2686,C,2,3,523430.88490115356
4009,E,3,5,393149.20611264
8806,C,4,3,703288.986921458
1154,D,5,4,308982.6836315915
2409,C,1,3,335606.4703334683
1784,D,5,4,406958.24804067344
9096,B,1,2,1177406.1578679152
8560,D,4,4,541946.8041853817
8343,C,3,3,633362.537877784
8206,D,5,4,666200.6149729437
6596,A,1,1,671369.70969322
6801,D,2,4,1144393.7965762848
3806,D,4,4,419855.55355895736
1537,A,3,1,247947.2330130351
6986,A,2,1,510089.0594349042
2841,A,3,1,318627.4466154996
9716,E,1,5,690825.9439334549
7971,D,2,4,1140219.2426266824
6625,A,3,1,415069.4282215427
3950,A,4,1,484329.16437784204
8992,B,5,2,1129203.492969129
5780,E,5,5,849571.6942646399
3368,D,2,4,426042.1028100448
7655,C,4,3,694136.1131189577
9173,E,4,5,1314079.23860863
5495,E,3,5,565527.7511344989
7002,B,2,2,794947.8413046774
7614,D,4,4,690346.820887554
6919,D,3,4,513951.9566359868
1853,A,4,1,273686.0751933306
5146,A,2,1,751060.129000221
4769,E,4,5,795585.6814069505
1574,B,4,2,276437.39899893967
2148,D,4,4,330359.8081523511
7293,B,5,2,932717.0454492264
7457,C,1,3,995871.7501348068
8509,D,2,4,1235022.9487551914
5777,A,5,1,518417.474545957
4854,E,1,5,742478.9771166769
3491,B,4,2,388477.06247939065
4124,A,4,1,655152.7525105219
6691,E,5,5,741705.1307872158
4051,A,3,1,402745.2921180732
1004,D,2,4,248862.3281039339
6222,B,1,2,661598.8406827496
6315,C,4,3,1010231.4495385811
5869,A,2,1,482571.9572476395
1876,B,4,2,295964.5548552327
8027,D,4,4,1121475.9335187722
5142,A,4,1,393503.11936319416
7966,D,2,4,1172011.3428349528
8079,C,5,3,1309828.013056291
8987,C,2,3,777163.1199116977
7799,E,2,5,1345861.965685187
5465,E,3,5,561903.4149643305
1635,E,3,5,417105.58064765425
2693,D,5,4,496774.39356736554
5752,E,3,5,1179054.2510046547
9311,B,5,2,575389.5545044495
1830,D,4,4,321169.77833624993
6177,D,4,4,937421.2873244726
9932,E,2,5,927270.7766832623
9308,E,4,5,1427742.4759437
6949,D,3,4,840808.7696169193
3838,C,1,3,698247.3776168855
2150,C,2,3,259744.43303230844
8560,E,5,5,1408757.8859634374
2931,C,4,3,592201.8036146562
2664,B,2,2,303749.0548182053
2081,B,2,2,217721.0416850072
1512,B,2,2,240892.67466406198
8805,D,4,4,1356028.714552476
6237,D,5,4,1022211.5152890942
1559,D,2,4,384903.07591693103
4672,D,2,4,824827.7689900643
8404,D,2,4,1347858.1749720005
4343,E,4,5,1010621.9338113581
5070,C,3,3,630344.8511224991
1580,E,5,5,500312.77641309274
8004,C,2,3,839679.156450478
9130,E,2,5,1235106.824708706
4147,B,2,2,367832.0467043027
5249,A,4,1,465708.9462551797
2679,D,3,4,446492.5555835268
4506,A,2,1,662395.8545808329
8253,A,2,1,532475.7714119051
3744,B,4,2,365798.51529566007
6188,A,5,1,548509.3636132374
3141,A,5,1,378034.219716984
7617,B,3,2,578640.0394134392
3479,C,5,3,459670.5075083069
7484,E,2,5,784375.6339783369
8421,A,4,1,779291.2074347932
5452,D,2,4,755365.5594902913
6881,B,2,2,446886.40405260003
7665,A,3,1,995761.1881043488
3849,C,5,3,476048.98725601047
8390,C,5,3,687408.480145814
7905,D,5,4,1013351.9674070529
3489,A,2,1,304590.71390859276
5611,D,4,4,1028514.4319488081
3839,C,4,3,706990.523748942
9527,C,2,3,1427186.3268809377
6878,E,1,5,1106340.5548872298
7303,C,2,3,682036.2988331337
1851,B,5,2,330309.1287054171
2687,E,2,5,362825.5519575674
7833,D,1,4,1147467.2023883981
3427,C,2,3,525462.1030970626
5000,B,5,2,531951.4633804522
6052,E,3,5,852823.5924712106
3738,B,4,2,581045.2133843981
6732,E,1,5,753467.4298257971
6387,E,3,5,911832.4879855354
9002,E,4,5,1287113.452280064
6536,D,3,4,626696.7099508608
4913,E,2,5,508591.63979911484
2066,E,2,5,322727.8724067031
8723,B,4,2,759237.9862177735
5380,E,4,5,956533.1948114282
5107,D,2,4,646222.5405654875
6726,B,2,2,617374.4302402922
4373,E,4,5,506167.13467946264
9945,B,4,2,1055970.040559783
3082,D,4,4,492389.53135614446
9967,B,5,2,1349225.1579650578
7748,D,5,4,606019.8632366344
1417,C,2,3,388464.8785462985
9306,E,5,5,877385.5630401057
9808,D,1,4,1523283.9178910332
4974,E,2,5,901079.9135790569
4267,D,1,4,779993.6022299347
1825,A,3,1,318010.1032815022
8668,A,1,1,1014643.4658661553
6745,A,3,1,558286.873510823
1412,D,1,4,291917.89817342826
8543,E,3,5,1261879.1387970895
8587,A,3,1,769817.8008889038
1728,E,2,5,336014.91092180135
8164,D,4,4,1439435.5573797903
9867,E,4,5,1115513.565173871
6988,E,2,5,768697.4590989621
3504,A,3,1,219673.96276409653
3967,B,4,2,470256.59231293557
3786,C,4,3,528555.6162420068
2122,D,1,4,323264.08875231474
5079,D,5,4,772828.9093880464
2571,D,2,4,479810.8465152166
6073,C,5,3,977689.568213376
6104,B,3,2,1058970.425260762
3143,E,1,5,471867.41632079985
7806,D,4,4,592045.1630291936
8357,E,1,5,1300014.5458499156
4440,A,2,1,281432.5391968027
4766,A,3,1,685157.0601099101
6644,A,1,1,949274.3430764708
3914,D,1,4,598427.7663773197
5968,C,1,3,1031265.6625732497
6917,D,4,4,606396.8294113582
9787,A,3,1,524964.332052873
1728,A,4,1,211875.59049257197
2365,D,1,4,510307.6690360351
5492,C,4,3,494206.0462639298
1698,C,4,3,305287.3641382358
8186,E,2,5,670776.5709821066
1395,B,5,2,265076.2549502356
8400,A,5,1,723982.5211844926
9082,C,2,3,958079.788427296
5171,A,2,1,875637.5209912439
5360,B,4,2,697151.0261726073
3502,A,4,1,228410.00358192014
1717,C,3,3,500237.88704250474
3782,E,5,5,485971.7654457378
5946,D,4,4,677800.902369778
6486,D,3,4,1063433.2798150457
9335,C,5,3,1339371.416350314
5980,C,3,3,711076.5573076913
8266,B,3,2,1116705.42211196
5491,A,2,1,378250.99043366587
8192,B,1,2,941165.9541820919
6588,D,1,4,446277.47837822576
8651,A,1,1,835610.1820822274
4636,B,3,2,531960.9422239735
2167,D,4,4,425495.28191283444
2062,A,1,1,225529.34907101165
3156,E,4,5,721974.336047687
8860,E,5,5,1059407.1100812461
6161,B,1,2,695734.6011537798
6305,C,3,3,660336.5886831525
7541,A,2,1,929230.0274386671
5729,B,3,2,838397.371988538
8330,C,4,3,1338208.4118261526
6334,C,5,3,880097.0958392797
9924,A,3,1,751433.379143611
5330,A,2,1,422977.3173458103
9010,C,2,3,854618.4587714405
7801,D,5,4,582375.5047414675
5846,B,1,2,910970.7841271558
7731,A,3,1,649658.6315581008
8241,C,3,3,661859.5786701327
1953,D,2,4,376282.7580528242
3539,E,4,5,388547.22705631296
8056,C,3,3,1164197.4334819107
2542,D,2,4,563976.2719090608
6293,E,4,5,739613.6392791223
2191,D,1,4,452754.23234697373
7313,A,1,1,661421.442712604
7938,C,2,3,732071.4130488248
3681,E,2,5,720271.4620798004
2540,D,1,4,391011.19813921885
7172,E,2,5,844107.4257282928
6541,B,5,2,951061.7696086165
2365,C,3,3,418223.0009624029
9691,A,5,1,1007153.37264005
9702,E,4,5,1503842.9997861346
8494,D,2,4,1165081.7103607461
5312,E,2,5,889251.8431354833
2324,D,4,4,568491.8689119561
4141,E,3,5,515999.74378806097
8419,A,1,1,837182.8844778824
4486,A,5,1,769608.8757270321
2810,C,3,3,499704.7611162823
7588,A,1,1,557700.6369585168
3923,E,1,5,641805.2964828177
6301,E,2,5,914020.5858985424
5186,A,4,1,447498.2378130108
9905,B,2,2,1061627.4806279903
6977,E,4,5,1084467.675107154
5268,C,2,3,665306.6957792968
5748,B,5,2,1007964.5811180874
5849,A,2,1,520533.6342947822
4709,D,5,4,654499.9257987192
7619,E,3,5,541448.2022845077
9647,D,3,4,639583.9025888862
4072,C,2,3,507418.5405679961
7530,B,3,2,738607.5478361674
1504,D,1,4,218634.9690307539
2214,C,5,3,421290.3787532187
2531,D,4,4,346111.3794807558
8576,D,5,4,812225.3794180139
1823,C,2,3,360036.568479843
1928,E,3,5,456667.87143192627
6029,D,3,4,923006.7227585386
1133,C,1,3,82721.24465580772
3105,D,3,4,615489.0476972008
4627,E,2,5,940069.7189845139
7316,C,2,3,571635.1085858034
2852,D,4,4,392499.66065901367
5910,A,5,1,1002769.8685322382
5175,E,5,5,490870.2146928967
6348,D,5,4,671177.4497159285
7190,B,4,2,723421.3679356842
2256,C,4,3,364158.3130367461
4376,D,4,4,506594.97897021397
6645,E,1,5,937160.0954052247
4486,E,4,5,841725.8986203714
4584,B,3,2,534715.784068356
9053,B,1,2,992175.6714205281
4330,D,3,4,667229.4636749144
3703,A,5,1,648667.9021342442
9662,E,2,5,1258573.661844718
9120,A,5,1,1150132.3202561485
8114,A,4,1,829899.9924465156
2353,D,2,4,473539.6841945537
6063,C,5,3,743372.28153617
9549,C,1,3,1531985.560879018
8575,C,4,3,1292836.9744769516
1667,B,5,2,347145.36071797775
5468,E,2,5,607436.4694957446
7819,B,3,2,1075189.2224305107
4719,E,5,5,507071.70594342233
3745,E,1,5,513505.4142472941
8483,E,2,5,1281975.5129788064
1539,D,5,4,435853.3509901328
5964,C,3,3,712592.8193580135
5835,B,4,2,513809.3528194277
4775,B,4,2,807673.4800278832
7042,D,4,4,1039907.3255333647
8102,E,2,5,741784.7269896473
8312,C,3,3,1222845.4641772937
6320,A,3,1,991941.1454033562
7132,A,5,1,768554.5134004768
8891,D,4,4,741244.0429092363
3779,C,2,3,641080.4770321758
1924,A,4,1,197141.0179384906
2581,A,4,1,333098.1858905594
8714,B,5,2,900808.5840369773
4324,C,5,3,780735.2514931378
6713,A,5,1,1002622.1371035937
8026,B,1,2,1084337.090010883
1255,C,1,3,192319.39170751398
5804,E,2,5,788717.0244911833
2838,C,2,3,334513.3048521477
1009,D,5,4,325702.2574072045
3871,B,3,2,611710.4265193682
9989,E,2,5,764697.8374468614
8409,B,1,2,901746.3464458782
8418,B,1,2,848490.9219572796
6124,A,4,1,808003.5941845397
2015,C,5,3,468693.69915221125
3193,B,3,2,439211.47101510887
9415,B,5,2,1082673.3719256648
8449,D,1,4,1028849.6866647989
5158,D,3,4,649124.5366116844
4925,D,2,4,570427.4016067644
7970,B,4,2,1057334.4443427422
7938,E,1,5,719709.2300870873
5784,C,4,3,606276.734005844
5000,B,5,2,777183.0691960327
2633,A,3,1,282910.6627502399
8266,E,5,5,907586.1131751338
9702,E,4,5,1234074.7993899249
1384,C,1,3,216427.86968905164
1404,E,4,5,386967.02309494995
9175,C,1,3,834219.1613028434
3000,E,4,5,603699.0792239374
6989,C,5,3,585485.4532042494
2460,D,4,4,533581.0192995633
8190,D,2,4,994961.7332396882
8140,E,5,5,1363371.4919610755
4636,E,4,5,598374.385814323
5809,C,4,3,599288.9258934403
5178,C,3,3,778914.897216237
8245,B,5,2,1147856.0526175061
7600,D,3,4,1312179.859351238
6997,B,5,2,652138.2369514025
3048,B,1,2,466534.8710950837
5780,A,5,1,512719.86238501535
1716,C,5,3,437038.0805241904
8939,A,4,1,629868.4707049137
6565,A,2,1,1005625.556346055
5544,B,5,2,798612.8179519107
5976,A,3,1,856406.3006117925
4419,C,2,3,457153.2028637939
8239,B,5,2,836856.3496153707
1249,C,2,3,207279.9732912925
9865,E,1,5,1140035.7924474457
1770,A,2,1,319828.96924344776
5363,B,1,2,717793.2259647005
2077,D,2,4,357067.05402176955
9427,C,2,3,917863.4711703993
9580,A,3,1,1113164.8198117036
8901,C,3,3,1173233.8838435132
5858,C,4,3,691745.7604797345
7544,E,2,5,795453.8509077601
5719,C,1,3,830682.6005053241
3814,E,2,5,486086.2800274624
4374,E,5,5,830753.1956160985
2252,E,1,5,278707.1999774253
7996,A,5,1,881181.0000287906
5673,C,4,3,890002.3026430656
5530,C,5,3,603119.8181982795
7881,E,4,5,630362.7014669372
7949,C,4,3,1228441.894892768
7241,C,4,3,932045.40512188
9017,E,5,5,863161.1835609786
7941,D,4,4,998400.585487857
8002,D,4,4,860876.302824617
2331,E,3,5,491777.53544809297
5261,A,2,1,561327.4621909375
8648,C,4,3,948612.2468152301
6115,C,1,3,978571.5785822095
5637,D,1,4,319051.32392361877
5854,E,3,5,784558.1981478787
4177,A,5,1,482436.38566924253
8730,E,5,5,1086112.4073480798
3180,D,5,4,632075.5514843935
5892,D,4,4,880623.7713013599
8043,C,5,3,683004.0821214175
1137,B,5,2,231853.58508814816
7327,A,2,1,1073574.5681938897
4472,A,4,1,751931.312386502
6449,B,4,2,980942.5353592223
3832,D,1,4,651171.179101575
4579,E,1,5,887737.307293257
6971,A,2,1,458286.70344365627
5164,B,3,2,635826.1876290122
8941,C,4,3,1442864.9142539788
6569,C,1,3,705830.1258218414
5300,D,5,4,788773.9152367415
7269,A,4,1,1054259.172198933
4818,E,4,5,486596.61607552407
2906,A,4,1,260764.57676284754
7254,C,1,3,566941.1898879645
1760,A,2,1,234456.37910790744
8830,C,1,3,1366688.3130157737
8350,B,5,2,848035.6558315265
7238,B,5,2,412074.13464762113
7090,C,3,3,665051.6906598062
7031,E,1,5,1111981.0095987692
8687,E,1,5,993537.0402393065
9472,A,3,1,1370555.922278064
2887,C,3,3,548890.6626355901
4266,D,4,4,551003.9996888798
1666,E,4,5,339009.01491195813
5188,E,5,5,905311.3306070194
1671,B,2,2,329697.4739454941
7777,E,5,5,963590.3967722557
8570,E,1,5,796735.8274388234
8956,E,2,5,1319163.014554152
6124,C,4,3,928378.6420547493
6585,C,3,3,734633.328626159
5777,B,3,2,532536.3704708803
4900,A,5,1,732660.5042023475
7677,E,1,5,935034.2863166031
7981,A,1,1,736248.5457133246
7376,C,3,3,880970.8558321861
1523,E,5,5,429502.65872741106
3393,A,5,1,574016.3246215202
3593,A,4,1,450978.03617027827
8240,D,4,4,773365.1859179337
7937,C,4,3,742040.0976997308
7190,B,2,2,1076633.4122416875
6240,B,5,2,845603.6350613108
7493,D,5,4,1262623.2390973468
3878,A,4,1,379439.2216837142
5143,D,3,4,390431.76587907807
4644,D,4,4,638602.3754611855
5432,C,2,3,505364.2463455597
2276,E,3,5,494999.61706421315
6811,A,5,1,836800.3802888525
1302,B,2,2,243169.0392519709
1638,B,2,2,351940.86875060044
1055,D,3,4,321859.93951281783
9717,D,4,4,999109.0329881
9150,D,4,4,960992.4129908563
3125,A,1,1,316381.8285222739
1364,D,3,4,224657.80889210218
7809,D,4,4,718051.7178288873
5621,E,2,5,807731.1277406545
6126,A,4,1,505659.0546081105
6122,C,4,3,1084630.1015429455
2646,C,2,3,332486.8472057519
1918,E,3,5,308708.70490768465
3797,B,1,2,333632.2836208718
7506,C,4,3,921455.8200650696
6870,A,4,1,506187.33182547794
2531,B,4,2,417447.28431659174
9172,D,3,4,906570.1933530626
4345,A,2,1,635346.4601439328
8673,B,2,2,799219.9193386949
7949,C,2,3,973839.6344408571
7882,D,2,4,1135321.3814933135
2906,D,2,4,412263.11730321945
4086,A,2,1,346083.36449587165
9152,D,4,4,1322371.2470070357
6750,B,4,2,780093.015892632
9905,E,2,5,937310.7432933965
2062,C,2,3,368388.85551285534
2976,A,3,1,486901.7564056333
2296,E,3,5,536270.1759515172
7229,E,5,5,746231.3282996417
8641,A,4,1,1098467.792130833
1125,B,2,2,259072.54196460207
5632,C,4,3,528689.9169328234
7288,A,5,1,753280.6966579887
4596,E,3,5,530837.9117665178
7168,E,5,5,734579.3648859047
8561,A,1,1,1153120.262112353
9258,E,3,5,968706.4076311863
1232,A,4,1,145754.86850839443
7371,A,3,1,634061.4049716243
5206,C,5,3,536087.9312228974
8943,A,2,1,1387384.223636959
7891,E,5,5,1019351.1448275826
7738,D,5,4,713897.723971133
3472,C,2,3,550931.6771969413
3739,E,4,5,600373.5217264156
6401,E,4,5,1057093.3169641674
2761,C,3,3,262892.8818145744
1876,C,5,3,314451.0371630749
4812,E,3,5,763754.5877876424
2460,D,2,4,338009.9593909379
2733,B,1,2,319175.5117772076
2605,E,4,5,372466.5598341372
6622,C,2,3,1050678.1264092834
7767,A,4,1,1330286.7704829967
7986,A,3,1,1043143.9220499294
4517,C,1,3,687763.1514929959
4735,C,5,3,635479.4560906431
9434,B,4,2,1464316.109808127
3590,C,5,3,533479.8635199966
2063,A,3,1,242565.25839669822
5324,D,4,4,449360.01404638577
6342,C,3,3,996559.2084946495
1005,B,5,2,184011.46169699516
8489,D,3,4,1139632.529890452
9659,B,3,2,858071.8470173286
9195,D,3,4,1273285.544062402
6966,C,2,3,1010086.461707959
9837,A,2,1,546016.8950832752
1117,D,4,4,446942.5345624929
3551,E,3,5,507069.88907884975
6560,B,3,2,669275.0867034176
5289,D,3,4,723291.3254924186
1846,B,2,2,218344.05860501982
7316,A,5,1,747789.266546803
7469,B,3,2,871804.6902440509
9915,B,1,2,664621.9932565757
1224,E,4,5,248043.8005890571
5208,B,2,2,807084.3878731949
7283,D,5,4,732394.0360852062
3048,B,1,2,268388.3981500184
7233,C,3,3,1013808.1760574777
2828,B,2,2,341743.57580022456
2917,C,3,3,578180.8161161917
5234,B,4,2,584820.0898304447
7988,B,2,2,1161654.6600717888
3026,D,1,4,281298.44373586983
4744,C,5,3,870620.4522202595
1009,C,5,3,227467.1288387685
1260,E,4,5,384608.2165023451
7038,B,5,2,1057084.237415441
3219,B,5,2,716971.3767979578
